"","participant_id","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest"
"48",123,"Slightly interested","Extremely interested","Extremely interested","Extremely interested","Not interested at all"
"49",124,"Not interested at all","Moderately interested","Not interested at all","Not interested at all","Very interested"
"50",126,"Very interested","Slightly interested","Slightly interested","Very interested","Moderately interested"
"51",129,"Slightly interested","Very interested","Slightly interested","Moderately interested","Moderately interested"
"52",131,"Not interested at all","Moderately interested","Very interested","Very interested","Very interested"
"53",132,"Slightly interested","Extremely interested","Moderately interested","Moderately interested","Very interested"
"54",134,"Very interested","Extremely interested","Very interested","Moderately interested","Moderately interested"
"55",135,"Moderately interested","Moderately interested","Slightly interested","Slightly interested","Very interested"
"56",140,"Moderately interested","Very interested","Moderately interested","Very interested","Extremely interested"
"57",141,"Extremely interested","Very interested","Not interested at all","Very interested","Very interested"
"58",142,"Very interested","Slightly interested","Moderately interested","Moderately interested","Not interested at all"
"59",145,"Slightly interested","Not interested at all","Very interested","Very interested","Slightly interested"
"60",147,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"61",149,"I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question."
"62",153,"Moderately interested","Extremely interested","Very interested","Moderately interested","Very interested"
"63",154,"Extremely interested","Extremely interested","Very interested","Very interested","Very interested"
"64",160,"Moderately interested","Very interested","Moderately interested","Moderately interested","Very interested"
"65",161,"Extremely interested","Not interested at all","Very interested","Not interested at all","Moderately interested"
"66",162,"Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested"
"67",164,"Very interested","Very interested","Very interested","Very interested","Very interested"
"68",165,"Extremely interested","Moderately interested","Not interested at all","Very interested","Very interested"
"69",166,"Extremely interested","Very interested","Moderately interested","Very interested","Moderately interested"
"70",169,"Extremely interested","Extremely interested","Moderately interested","Very interested","Extremely interested"
"71",171,"Moderately interested","Very interested","Very interested","Extremely interested","Very interested"
"72",174,"Moderately interested","Extremely interested","Extremely interested","Moderately interested","Extremely interested"
"73",177,"Extremely interested","Extremely interested","Extremely interested","Very interested","Extremely interested"
"74",178,"Extremely interested","Extremely interested","Very interested","Extremely interested","Very interested"
"75",179,"Extremely interested","Extremely interested","Slightly interested","Extremely interested","Extremely interested"
"76",181,"Extremely interested","Extremely interested","Moderately interested","Extremely interested","Extremely interested"
"77",185,"Moderately interested","Moderately interested","Very interested","Very interested","Very interested"
"78",186,"Very interested","Moderately interested","Moderately interested","Slightly interested","Moderately interested"
"79",187,"Very interested","Moderately interested","Not interested at all","Very interested","Moderately interested"
"80",190,"Very interested","Moderately interested","Slightly interested","Very interested","Moderately interested"
