"","participant_id","Date.submitted","Last.page","Start.language","Seed","Date.started","Date.last.action","Please.select.your.choice.below..Clicking.on.the..Yes..button.below.indicates.that..U.00A0...You.have.read.the.above.information..You.voluntarily.agree.to.participate.","participants_gender","participants_gender_other","participants_age_range","participants_living_region","participants_living_region_other","olympics_frequency","international_frequency","continental_frequency","national_frequency","regional_frequency","other_race_name_1","other_race_frequency_1","other_race_name_2","other_race_frequency_2","other_race_name_3","other_race_frequency_3","other_race_name_4","other_race_frequency_4","other_race_name_5","other_race_frequency_5","have_seen_moving_info","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance","world_record","competition_record","national_record","personal_record","distance_per_stroke","reaction_time","diving_distance","stroke_count","next_passing","record_break","winner","estimation_completion_time","social_media_followers","social_media_by_swimmer","sponsor","other_data_name_1","other_data_interest_1","other_data_name_2","other_data_interest_2","other_data_name_3","other_data_interest_3","other_data_name_4","other_data_interest_4","other_data_name_5","other_data_interest_5","other_data_name_6","other_data_interest_6","other_data_name_7","other_data_interest_7","other_data_name_8","other_data_interest_8","other_data_name_9","other_data_interest_9","other_data_name_10","other_data_interest_10","other_data_name_11","other_data_interest_11","other_data_name_12","other_data_interest_12","other_data_name_13","other_data_interest_13","other_data_name_14","other_data_interest_14","other_data_name_15","other_data_interest_15","other_data_name_16","other_data_interest_16","other_data_name_17","other_data_interest_17","other_data_name_18","other_data_interest_18","other_data_name_19","other_data_interest_19","other_data_name_20","other_data_interest_20","general_comment","Total.time","Group.time..Consent.Form","Question.time..ConsentFormAgree","Group.time..Demographic.Questions","Question.time..GenderIdentification","Question.time..AgeRange","Question.time..AreaLiving","Group.time..Familiarity.with.Swimming","Question.time..WatchingFrequency","Question.time..EventExtension","Group.time..Background.Introduction","Question.time..BackgroundQuestion","Group.time..Main.Task","Question.time..SwimmerMetadata","Question.time..TimeDetail","Question.time..SpeedDetail","Question.time..DistanceDetail","Question.time..RecordDetail","Question.time..TechniqueDetail","Question.time..PredictionDetail","Question.time..ExternalDetail","Group.time..Supplementary.Interesting.Data..Optional.","Question.time..Other","Group.time..General.Comment..Optional.","Question.time..GeneralComment"
"11",50,"2022-04-15 14:17:45",7,"en",1273872894,"2022-04-15 14:10:36","2022-04-15 14:17:45","Yes","Man",NA,"35-44","Europe",NA,"All races","All races","All races","All races","Some races","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",433.18,22.92,NA,33.61,NA,NA,NA,67.3,NA,NA,126.41,NA,168.46,NA,NA,NA,NA,NA,NA,NA,NA,7.66,NA,6.82,NA
"12",51,"2022-04-15 14:18:21",7,"en",144778546,"2022-04-15 14:11:44","2022-04-15 14:18:21","Yes","Man",NA,"18-24","Europe",NA,"Some races","Some races","Some races","Some races","Some races","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Extremely interested","Extremely interested","Moderately interested","I do not know. / I did not understand the question.","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Extremely interested","Very interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Moderately interested","Slightly interested","Extremely interested","Very interested","Moderately interested","Very interested","Very interested","Very interested","Slightly interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Slightly interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",401.04,8.15,NA,10.9,NA,NA,NA,41.75,NA,NA,33.89,NA,289.47,NA,NA,NA,NA,NA,NA,NA,NA,13.58,NA,3.3,NA
"13",52,"2022-04-15 14:31:26",7,"en",1929145554,"2022-04-15 14:11:47","2022-04-15 14:31:26","Yes","Man",NA,"18-24","Europe",NA,"Almost all races","Almost all races","Some races","Almost all races","Some races","Olympics ","Almost all races","FINA World Aquatics Championships","Almost all races","European Aquatics Championships","Some races","Open de France de Natation","Some races","NCAA swimming division I","Some races","Yes","Extremely interested","Moderately interested","Slightly interested","Slightly interested","Moderately interested","Not interested at all","Extremely interested","Very interested","Slightly interested","Extremely interested","Extremely interested","Moderately interested","Not interested at all","Moderately interested","Slightly interested","Not interested at all","Slightly interested","Slightly interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Not interested at all","Very interested","Very interested","Very interested","Moderately interested","Not interested at all","Not interested at all","Slightly interested","Not interested at all","Slightly interested","Slightly interested","Not interested at all","How much strength is applied at the start on the block","Extremely interested","The distance at which swimmers enter the water with their dives","Very interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",1183.12,139.89,NA,14.78,NA,NA,NA,198.9,NA,NA,37.5,NA,387.76,NA,NA,NA,NA,NA,NA,NA,NA,378.04,NA,26.25,NA
"14",56,"2022-04-15 15:58:01",7,"en",1082005283,"2022-04-15 15:52:36","2022-04-15 15:58:01","Yes","Woman",NA,"35-44","Europe",NA,"Some races","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Moderately interested","Not interested at all","Slightly interested","Not interested at all","Moderately interested","Not interested at all","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Slightly interested","Not interested at all","Moderately interested","Slightly interested","Very interested","Not interested at all","Not interested at all","Very interested","Very interested","Extremely interested","Extremely interested","Moderately interested","Not interested at all","Not interested at all","Slightly interested","Moderately interested","Extremely interested","Very interested","Moderately interested","Not interested at all","Slightly interested","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",328.75,4.5,NA,6.31,NA,NA,NA,14.62,NA,NA,15.46,NA,250.9,NA,NA,NA,NA,NA,NA,NA,NA,31.48,NA,5.48,NA
"15",57,"2022-04-15 16:35:17",7,"en",2014474568,"2022-04-15 16:20:10","2022-04-15 16:35:17","Yes","Woman",NA,"65-74","Europe",NA,"Some races","Some races","Some races","Some races","Some races","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","No","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Very interested","Not interested at all","Not interested at all","Not interested at all","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Very interested","Not interested at all","Not interested at all","Extremely interested","Moderately interested","Very interested","Moderately interested","Not interested at all","Not interested at all","Moderately interested","Not interested at all","Not interested at all","Moderately interested","Moderately interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Most of the questions concern coaches of swimmers, not TV spectators. I am not a coach. Only an interested viewer of swimming races on TV.",910.9,21.88,NA,31.08,NA,NA,NA,106.32,NA,NA,152.92,NA,511.48,NA,NA,NA,NA,NA,NA,NA,NA,12.9,NA,74.32,NA
"16",60,"2022-04-15 19:34:29",7,"en",445694205,"2022-04-15 19:09:01","2022-04-15 19:34:29","Yes","Woman",NA,"35-44","Europe",NA,"Almost all races","Almost all races","Some races","Some races","Some races","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Very interested","Very interested","Moderately interested","Slightly interested","Moderately interested","Slightly interested","Extremely interested","Very interested","Very interested","Very interested","Moderately interested","Very interested","Very interested","Very interested","Moderately interested","Very interested","Very interested","Moderately interested","Moderately interested","Moderately interested","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Not interested at all","Slightly interested","Not interested at all","Slightly interested","Not interested at all","Moderately interested","Slightly interested","Distances to winner and to consecutive swimmers after completion of race (i.e. 5cm 2nd to 1st) ","Extremely interested","Training kilometers or training techniques before a race starts","Very interested","How far they jump from the blocks","Moderately interested","How fast a swimmer turns","Moderately interested","Speed after turn (how good the turn is) ","Very interested","Water position of a swimmer","Moderately interested","Infos on successes or PBs of swimmers just before the race","Very interested","Development of swimming times of a swimmer (before race starts) ","Very interested",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Good to understand",1532.37,36.66,NA,112.5,NA,NA,NA,103.72,NA,NA,93.5,NA,657.81,NA,NA,NA,NA,NA,NA,NA,NA,510.91,NA,17.27,NA
"17",64,"2022-04-15 21:31:43",7,"en",1365384197,"2022-04-15 21:18:07","2022-04-15 21:31:43","Yes","Woman",NA,"25-34","North America",NA,"All races","Some races","Some races","Almost all races","Almost all races","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Extremely interested","Extremely interested","Slightly interested","Slightly interested","Slightly interested","Not interested at all","Extremely interested","Extremely interested","Moderately interested","Extremely interested","Very interested","Extremely interested","Very interested","Very interested","Moderately interested","Very interested","Extremely interested","Slightly interested","Not interested at all","Moderately interested","Slightly interested","Not interested at all","Extremely interested","Very interested","Extremely interested","Moderately interested","Extremely interested","Very interested","Extremely interested","Extremely interested","Slightly interested","Moderately interested","Moderately interested","Very interested","Slightly interested","Moderately interested","Slightly interested","Stroke tempo (duration to complete a stroke)","Very interested","Distance underwater (meters spent underwater off start and turns)","Extremely interested","Number of underwater kicks (off to start and turns)","Very interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","No",819.52,32.01,NA,11.54,NA,NA,NA,79.47,NA,NA,351.29,NA,228.65,NA,NA,NA,NA,NA,NA,NA,NA,101.81,NA,14.75,NA
"18",69,"2022-04-16 09:55:58",7,"en",1359204658,"2022-04-16 09:51:05","2022-04-16 09:55:58","Yes","Man",NA,"35-44","Europe",NA,"No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","No","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Very interested","Slightly interested","Slightly interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all","Slightly interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Slightly interested","Slightly interested","Not interested at all","Slightly interested","Not interested at all","Slightly interested","Slightly interested","Not interested at all","Not interested at all","Slightly interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",294.22,7.3,NA,10.99,NA,NA,NA,21.05,NA,NA,45.27,NA,164.08,NA,NA,NA,NA,NA,NA,NA,NA,27.12,NA,18.41,NA
"19",70,"2022-04-17 03:08:44",7,"en",1246486685,"2022-04-17 03:05:09","2022-04-17 03:08:44","Yes","Man",NA,"18-24","North America",NA,"Almost all races","No races / I don't follow this event.","Some races","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Moderately interested","Slightly interested","Moderately interested","Not interested at all","Moderately interested","Moderately interested","Extremely interested","Extremely interested","Very interested","Extremely interested","Moderately interested","Not interested at all","Very interested","Not interested at all","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Slightly interested","I do not know. / I did not understand the question.","Slightly interested","Extremely interested","Extremely interested","Slightly interested","Moderately interested","Extremely interested","Slightly interested","Moderately interested","Extremely interested","Not interested at all","Very interested","Not interested at all","Not interested at all","Not interested at all","Moderately interested","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",216.17,10.25,NA,10.3,NA,NA,NA,29.92,NA,NA,24.64,NA,130.2,NA,NA,NA,NA,NA,NA,NA,NA,7.45,NA,3.41,NA
"20",71,"2022-04-19 11:37:26",7,"en",633051147,"2022-04-19 11:32:46","2022-04-19 11:37:26","Yes","Man",NA,"25-34","Europe",NA,"Almost all races","Almost all races","Some races","Some races","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Slightly interested","Very interested","Slightly interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Moderately interested","Not interested at all","Very interested","Not interested at all","Moderately interested","Moderately interested","Very interested","Not interested at all","Slightly interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",283.72,26.36,NA,9.79,NA,NA,NA,40.26,NA,NA,21.05,NA,174.04,NA,NA,NA,NA,NA,NA,NA,NA,7.75,NA,4.47,NA
"21",72,"2022-04-19 17:13:01",7,"en",1078293144,"2022-04-19 17:00:21","2022-04-19 17:13:01","Yes","Man",NA,"45-54","North America",NA,"Some races","Some races","No races / I don't follow this event.","No races / I don't follow this event.","Some races","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Moderately interested","Not interested at all","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Moderately interested","Very interested","Not interested at all","Not interested at all","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Moderately interested","Very interested","Extremely interested","Not interested at all","I do not know. / I did not understand the question.","Extremely interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","AR visualizations when the hand is touching the wall or the clock","Very interested","AR data visualizations using the deep camera","Extremely interested","Moments of breading ","Extremely interested","Kicking Moments accelerations","Extremely interested","Distance of entering the water at the start","Extremely interested","Distance inside the water (braces)","Extremely interested","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Thank you, very nice research AR visualization project",763.77,15.66,NA,15.7,NA,NA,NA,50.39,NA,NA,31.62,NA,297.84,NA,NA,NA,NA,NA,NA,NA,NA,309.03,NA,43.53,NA
"22",73,"2022-04-19 17:13:35",7,"en",1886146996,"2022-04-19 17:02:07","2022-04-19 17:13:35","Yes","Woman",NA,"25-34","Europe",NA,"Some races","Some races","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Not interested at all","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested","Moderately interested","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","Extremely interested","Extremely interested","Very interested","Extremely interested","Very interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Very interested","Extremely interested","Very interested","Very interested","Slightly interested","Very interested","Slightly interested","Slightly interested","Not interested at all","Not interested at all","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",691,88.44,NA,39.19,NA,NA,NA,192.97,NA,NA,64.73,NA,265.13,NA,NA,NA,NA,NA,NA,NA,NA,17.01,NA,23.53,NA
"23",74,"2022-04-19 17:28:13",7,"en",1904090373,"2022-04-19 17:25:34","2022-04-19 17:28:13","Yes","Prefer not to tell",NA,"75 or older","North America",NA,"All races","Almost all races","Some races","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","No","Slightly interested","Very interested","Slightly interested","Extremely interested","Not interested at all","I do not know. / I did not understand the question.","Extremely interested","Slightly interested","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","Very interested","I do not know. / I did not understand the question.","Very interested","I do not know. / I did not understand the question.","Extremely interested","I do not know. / I did not understand the question.","Very interested","Moderately interested","Moderately interested","Slightly interested","Very interested","I do not know. / I did not understand the question.","Extremely interested","Very interested","I do not know. / I did not understand the question.","Not interested at all","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Moderately interested","Moderately interested","Not interested at all","Extremely interested","Not interested at all","Extremely interested","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",162.68,9.38,NA,14.55,NA,NA,NA,33.65,NA,NA,24.28,NA,68.29,NA,NA,NA,NA,NA,NA,NA,NA,9.28,NA,3.25,NA
"24",75,"2022-04-19 17:50:38",7,"en",187819467,"2022-04-19 17:45:07","2022-04-19 17:50:38","Yes","Woman",NA,"18-24","Europe",NA,"Almost all races","No races / I don't follow this event.","Some races","Some races","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Moderately interested","Moderately interested","Slightly interested","Slightly interested","Not interested at all","Not interested at all","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Very interested","Moderately interested","Very interested","Very interested","Very interested","Moderately interested","Slightly interested","Moderately interested","Slightly interested","Very interested","Extremely interested","Moderately interested","Extremely interested","Very interested","Very interested","Slightly interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",335.22,17.51,NA,9.18,NA,NA,NA,31.69,NA,NA,39.85,NA,217.89,NA,NA,NA,NA,NA,NA,NA,NA,12.48,NA,6.62,NA
"25",76,"2022-04-19 17:53:46",7,"en",544518778,"2022-04-19 17:46:59","2022-04-19 17:53:46","Yes","Woman",NA,"35-44","Europe",NA,"Almost all races","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Very interested","Very interested","Very interested","Slightly interested","Very interested","Very interested","Very interested","Extremely interested","Not interested at all","Slightly interested","Very interested","Extremely interested","Extremely interested","Moderately interested","Moderately interested","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Very interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Slightly interested","Extremely interested","Very interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Average number of stroke","Extremely interested","Comparison of number of stroke between swimmers","Extremely interested","Time  and speed spent turning","Extremely interested","Distance under water when turning","Extremely interested","When they emerged from the water compared to others","Extremely interested","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","N/A",409.89,12.57,NA,10.15,NA,NA,NA,28.25,NA,NA,36.85,NA,165.62,NA,NA,NA,NA,NA,NA,NA,NA,147.24,NA,9.21,NA
"26",78,"2022-04-19 20:06:58",7,"en",1550503791,"2022-04-19 19:53:18","2022-04-19 20:06:58","Yes","Man",NA,"35-44","Europe",NA,"Some races","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Very interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Slightly interested","Moderately interested","Slightly interested","Moderately interested","Moderately interested","Extremely interested","Very interested","Very interested","Slightly interested","Extremely interested","Extremely interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Very interested","Very interested","Slightly interested","Very interested","Slightly interested","Very interested","Very interested","Slightly interested","I do not know. / I did not understand the question.","Very interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","An alert whenever an underdog makes it to a race  would make me more interested in that race","Extremely interested","It would be interesting to get a summary of who outperformed and who failed to meet expectations ","Extremely interested","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Sports fans tend to initially reject novel visualizations, but eventually might be accepting. Brazilian channels started showing a timeline that is still widely controversial in football. ",823.81,17.36,NA,22.74,NA,NA,NA,49.91,NA,NA,42.39,NA,377.58,NA,NA,NA,NA,NA,NA,NA,NA,181.6,NA,132.23,NA
"27",79,"2022-04-19 20:53:28",7,"en",346096790,"2022-04-19 20:38:07","2022-04-19 20:53:28","Yes","Woman",NA,"35-44","Europe",NA,"Almost all races","Almost all races","Almost all races","Almost all races","No races / I don't follow this event.","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Very interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Number of medals already won during the same event","Extremely interested","Number of gold medals at the Olympics","Extremely interested","Number of silver medals at the Olympics","Extremely interested","bronzesilver medals at the Olympics","Extremely interested","QR code or link to a web page presenting the swimmer","Extremely interested","False start","Extremely interested","Disqualification","Extremely interested","Reaction time of all swimmers during relays","Extremely interested",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Although all these additional data are extremely interesting to know and have in real-time, I am not sure how they could be displayed on a screen because there are already many of them on TV. I fear that they would hide the course itself.
Then, would these data be shared with the swimmers and the coaches so that they can benefit from them?",924.82,109.5,NA,11.61,NA,NA,NA,38.21,NA,NA,105.7,NA,198.03,NA,NA,NA,NA,NA,NA,NA,NA,185.77,NA,276,NA
"28",81,"2022-04-19 22:06:44",7,"en",2079787296,"2022-04-19 21:59:53","2022-04-19 22:06:44","Yes","Woman",NA,"35-44","Europe",NA,"Almost all races","Almost all races","Some races","Some races","Some races","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","Moderately interested","Extremely interested","Moderately interested","Slightly interested","Extremely interested","Moderately interested","Very interested","Very interested","Slightly interested","Very interested","Very interested","Very interested","Moderately interested","Extremely interested","Very interested","Slightly interested","Slightly interested","Very interested","Extremely interested","Extremely interested","Moderately interested","Slightly interested","Extremely interested","Very interested","Very interested","Very interested","Moderately interested","Extremely interested","Very interested","Moderately interested","Moderately interested","Extremely interested","Moderately interested","Very interested","Not interested at all","Slightly interested","Not interested at all","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",414.11,19.82,NA,34.13,NA,NA,NA,31.95,NA,NA,20.23,NA,297.05,NA,NA,NA,NA,NA,NA,NA,NA,8.37,NA,2.56,NA
